Country.,Contract.Phase.,Implementing.Organization.,Fieldwork.,Status.,CAPI.survey,GPS.georeferenced,dhs_cc,dhs_recode_code,survey_id,Recode.Structure.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.questions,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing...DBS,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening.questions,Cervical.cancer.screening.questions,Prostate.cancer.screening.questions,Diabetes.testing,Newborn.care,Service.availability,CAF�.survey,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,HIV.testing...venous.blood,Arm.circumference,Asthma,Basic.material.needs,HIV.testing...RDT,Malaria...DBS,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Sickle.cell..genotype.test.,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,BeginDate,EndDate,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Cape Verde,DHS-V,"Instituto Nacional de Estadistica, Praia, Cabo Verde",July 2005 - December 2005,Completed,,1,,,303,"",,,1,1,,,1,1,,,,,1,,1,,1,,,1,1,1,,,,,,,,1,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-01,2005-12-01,153,2005-09-15,2005,2005,2005,1
Central African Republic,DHS-VI,Ministère du Plan et de l’Economie Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales,June 2009 - September 2010,Completed,,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-01,2010-09-01,457,2010-01-15,2009,2010,2010,
Central African Republic,DHS-III,Direction des Statistiques Démographiques et Sociales,September 1994 - March 1995,Completed,,1,CF,31,66,DHS-III,,,,,,,1,1,1,,,1,1,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-09-01,1995-03-01,181,1994-11-30,1994,1995,1995,1
Chad,DHS-VII,"Institut National de la Statistique, des Études Économique et Démographiques (INSEED)",October 2014 - April 2015,Completed,,1,TD,71,465,DHS-VI,,,1,1,,1,1,1,,1,,1,1,,1,,1,,,1,,1,,,,,,,,,1,,,1,1,,1,1,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-01,2015-04-01,182,2014-12-31,2014,2015,2015,1
Chad,DHS-IV,"Institut National de la Statistique, des Études Économiques et Démographiques (INSEED)",July 2004 - December 2004,Completed,,,TD,41,215,DHS-IV,1,,,,,,1,1,1,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-01,2004-12-01,153,2004-09-15,2004,2004,2004,1
Chad,DHS-III,Bureau Central du Recensement,December 1996 - July 1997,Completed,,,TD,31,83,DHS-III,,,,,,,1,1,1,,,1,1,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-12-01,1997-07-01,212,1997-03-17,1996,1997,1997,1
Colombia,DHS-VII,PROFAMILIA,February 2015 - March 2016,Completed,1,,CO,72,476,DHS-VII,1,1,1,1,,,1,1,,,,1,1,1,,,1,,,1,1,1,,,1,,,1,,,,,,1,1,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-01,2016-03-01,394,2015-08-17,2015,2016,2016,1
Colombia,DHS-VI,PROFAMILIA,November 2009 - November 2010,Completed,1,1,CO,61,381,DHS-V,1,1,1,1,,,1,1,,1,,,,1,,1,1,,,1,1,1,,,,,,1,,,1,,,1,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-01,2010-11-01,365,2010-05-02,2009,2010,2010,1
Colombia,DHS-V,Profamilia,October 2004 - June 2005,Completed,1,,CO,53,255,DHS-IV,1,1,1,1,,,,1,,,,,,1,,1,1,1,1,1,1,1,,,,,,1,,,1,,,1,,,,1,1,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01,2005-06-01,243,2005-01-31,2004,2005,2005,
Colombia,DHS-IV,PROFAMILIA,February 2000 - June 2000,Completed,,,CO,41,141,DHS-IV,1,1,1,1,,,1,1,,1,,,,1,1,,1,1,,1,1,1,,,1,,,,,,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-02-01,2000-06-01,121,2000-04-01,2000,2000,2000,1
Colombia,DHS-III,PROFAMILIA,March 1995 - June 1995,Completed,,,CO,31,72,DHS-III,,1,1,1,,,1,1,,,,,,1,1,,,,,1,,1,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-03-01,1995-06-01,92,1995-04-16,1995,1995,1995,1
Colombia,DHS-II,PROFAMILIA,May 1990 - August 1990,Completed,,,CO,22,30,DHS-II,,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-05-01,1990-08-01,92,1990-06-16,1990,1990,1990,1
Colombia,DHS-I,Corporación Centro Regional de Población/Ministerio de Salud de Colombia,September 1986 - December 1986,Completed,,,CO,01,4,DHS-I,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-09-01,1986-12-01,91,1986-10-17,1986,1986,1986,
Comoros,DHS-VI,Direction General de la Statistique et de la Prospective (DGSP),August 2012 - December 2012,Completed,,1,KM,61,443,DHS-VI,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-01,2012-12-01,122,2012-10-01,2012,2012,2012,1
Comoros,DHS-III,Centre National de Documentation et de Recherche Scientifique,March 1996 - May 1996,Completed,,,KM,32,93,DHS-III,,,,,,,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-03-01,1996-05-01,61,1996-03-31,1996,1996,1996,1
Congo,DHS-VI,"Centre National de la Statistique et des Études Économiques (CNSEE) (Ministère de l’Économie, du Plan, de l’Aménagement du Territoire et de l’Intégration)",September 2011 - February 2012,Completed,,,CG,61,388,DHS-VI,1,,1,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-01,2012-02-01,153,2011-11-16,2011,2012,2012,
Congo,DHS-V,Centre National de la Statistique et des Etudes Economiques,March 2009 - June 2009,Completed,,,CG,5A,370,DHS-V,,,1,,,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-03-01,2009-06-01,92,2009-04-16,2009,2009,2009,
Congo,DHS-V,Centre National de la Statistique et des Etudes Economiques,July 2005 - November 2005,Completed,,,CG,51,267,DHS-V,1,,1,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-01,2005-11-01,123,2005-09-01,2005,2005,2005,
Congo Democratic Republic,DHS-VII,Institut National de Recherche Biomedicale (INRB),January 2017 - April 2017,Completed,1,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01,2017-04-01,90,2017-02-15,2017,2017,2017,
Congo Democratic Republic,DHS-VII,Kinshasa School of Public Health (KSPH),October 2017 - April 2018,Completed,,1,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-01,2018-04-01,182,2017-12-31,2017,2018,2018,
Congo Democratic Republic,DHS-VI,Ministry of Planning,August 2013 - February 2014,Completed,,1,CD,61,421,DHS-VI,1,,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,1,,1,,1,,1,,,,1,1,,,1,1,,1,1,1,,,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2013-08-01,2014-02-01,184,2013-11-01,2013,2014,2014,1
Congo Democratic Republic,DHS-V,Under the direction of the Ministry of Planning,January 2007 - August 2007,Completed,,1,CD,51,239,DHS-V,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,,,,,,1,,1,1,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01,2007-08-01,212,2007-04-17,2007,2007,2007,
Cote d'Ivoire,DHS-VII,Institut National de la Statistique (INS),July 2016 - August 2016,Completed,,,,,507,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-01,2016-08-01,31,2016-07-17,2016,2016,2016,
Cote d'Ivoire,DHS-VI,"Ministère de la Santé et de la Lutte contre le Sida (MSLS), Institut National de la Statistique(INS)",December 2011 - May 2012,Completed,,1,CI,62,311,DHS-VI,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,1,1,,,,1,,,1,1,,,,1,1,,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-01,2012-05-01,152,2012-02-15,2011,2012,2012,1
Cote d'Ivoire,DHS-V,Institut National de la Statistique (INS),August 2005 - October 2005,Completed,,,CI,51,231,DHS-V,1,,,1,,,1,1,,1,1,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2005-08-01,2005-10-01,61,2005-08-31,2005,2005,2005,1
Cote d'Ivoire,DHS-III,Institut National de la Statistique (INS),September 1998 - March 1999,Completed,,1,CI,3A,106,DHS-III,,,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-09-01,1999-03-01,181,1998-11-30,1998,1999,1999,1
Cote d'Ivoire,DHS-III,Institut National de la Statistique (INS),June 1994 - November 1994,Completed,,1,CI,35,62,DHS-III,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-06-01,1994-11-01,153,1994-08-16,1994,1994,1994,1
Dominican Republic,DHS-VI,Centro de Estudios Sociales y Demográficos (CESDEM),July 2013 - October 2013,Completed,,1,DR,61,439,DHS-VI,,,1,1,,,1,1,,,,,1,,1,,1,1,,1,,1,,1,1,1,,,,,1,,1,,,1,,,1,,,,1,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-01,2013-10-01,92,2013-08-16,2013,2013,2013,1
Dominican Republic,DHS-VI,Centro de Estudios Sociales y Demográficos (CESDEM),July 2013 - October 2013,Completed,,1,DR,6A,490,DHS-VI,,,1,1,,,1,1,,,,,1,,1,,1,1,,1,,1,,1,1,,,,,,1,,1,,,1,,,1,,,,1,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-01,2013-10-01,92,2013-08-16,2013,2013,2013,
Dominican Republic,DHS-V,Center for Demographic Studies  (CESDEM),March 2007 - August 2007,Completed,,1,DR,52,291,DHS-V,1,,1,1,,,1,1,,,1,1,1,1,1,,1,1,1,1,,1,,1,1,,,,,,1,,,,,,,,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-01,2007-08-01,153,2007-05-16,2007,2007,2007,1
Dominican Republic,DHS-V,Centro de Estudios Sociales y Demográficos (CESDEM),July 2007 - August 2007,Completed,,,DR,5A,331,DHS-V,,,1,1,,,1,1,,,1,,1,1,1,,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-01,2007-08-01,31,2007-07-17,2007,2007,2007,
Dominican Republic,DHS-IV,"CESDEM, Centro de Estudios Sociodemograficos",July 2002 - December 2002,Completed,,,DR,4B,210,DHS-IV,,1,1,1,,,1,1,,,,1,1,1,1,,,1,,1,,1,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-01,2002-12-01,153,2002-09-15,2002,2002,2002,1
Dominican Republic,DHS-IV,Centro de Estudios Sociodemograficos (CESDEM),August 1999 - December 1999,Completed,,,DR,41,142,DHS-IV,,1,,1,,,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-08-01,1999-12-01,122,1999-10-01,1999,1999,1999,1
Dominican Republic,DHS-III,Centro de Estudios Sociodemograficos (CESDEM)/PROFAMILIA,September 1996 - December 1996,Completed,,,DR,32,92,DHS-III,,1,1,,,,1,1,1,,,1,1,,1,,,,,,,,,1,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-09-01,1996-12-01,91,1996-10-17,1996,1996,1996,1
Dominican Republic,DHS-II,Asociación Dominicana Pro-Bienestar de la Familia,July 1991 - November 1991,Completed,,,DR,21,37,DHS-II,,1,1,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-07-01,1991-11-01,123,1991-09-01,1991,1991,1991,
Dominican Republic,DHS-I,Consejo Nacional de Población y Familia,September 1986 - December 1986,Completed,,,DR,01,5,DHS-I,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-09-01,1986-12-01,91,1986-10-17,1986,1986,1986,
Dominican Republic,DHS-I,Consejo Nacional de Población y Familia,September 1986 - December 1986,Completed,,,DR,0B,134,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-09-01,1986-12-01,91,1986-10-17,1986,1986,1986,
Ecuador,DHS-I,Centro de Estudios de Población y Paternidad Responsable,January 1987 - March 1987,Completed,,,EC,01,15,DHS-I,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987-01-01,1987-03-01,59,1987-01-31,1987,1987,1987,
Egypt,DHS-VII,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",February 2015 - May 2015,Completed,,,EG,73,480,,,,,,,,1,1,,,1,,1,1,1,,1,,,1,,,,1,,1,,,,,1,1,1,,,1,,1,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2015-02-01,2015-05-01,89,2015-03-17,2015,2015,2015,
Egypt,DHS-VI,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",April 2014 - June 2014,Completed,,1,EG,61,397,DHS-VI,1,1,,1,,,1,1,1,,,,,1,1,1,1,,1,1,1,1,,,,,,,,1,1,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-01,2014-06-01,61,2014-05-01,2014,2014,2014,1
Egypt,DHS-V,Ministry of Health and Population/El-Zanaty and Associates,March 2008 - June 2008,Completed,,1,EG,5A,294,DHS-V,,1,,,,,,1,1,,,,,1,1,1,1,,1,1,,,,1,,,,,,,1,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2008-03-01,2008-06-01,92,2008-04-16,2008,2008,2008,1
Egypt,DHS-V,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",April 2005 - June 2005,Completed,,1,EG,51,272,DHS-IV,,1,1,1,,,,1,1,,,,,,1,,1,1,,1,,,,,,,,,,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2005-04-01,2005-06-01,61,2005-05-01,2005,2005,2005,
Egypt,DHS-V,El-Zanaty and Assoicates,May 2004 - June 2004,Completed,,,,,246,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-05-01,2004-06-01,31,2004-05-17,2004,2004,2004,
Egypt,DHS-IV,El-Zanaty and Associates,May 2003 - June 2003,Completed,,1,EG,4A,240,DHS-IV,,1,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-05-01,2003-06-01,31,2003-05-17,2003,2003,2003,
Egypt,DHS-IV,El-Zanaty & Assoc; Ministry of Health,September 2002 - September 2002,Completed,,,,,225,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-01,2002-09-01,0,2002-09-01,2002,2002,2002,
Egypt,DHS-IV,Nat. Population Council,February 2000 - April 2000,Completed,,1,EG,42,145,DHS-IV,,1,1,,,,,,1,,,,,1,1,,1,,1,1,,,,,,,,,,1,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2000-02-01,2000-04-01,60,2000-03-02,2000,2000,2000,1
Egypt,DHS-III,El-Zanaty & Associates,November 1998 - December 1998,Completed,,,,,144,"",,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-11-01,1998-12-01,30,1998-11-16,1998,1998,1998,
Egypt,DHS-III,Nat. Population Council,October 1996 - November 1997,Completed,,,EG,3A,108,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-10-01,1997-11-01,396,1997-04-17,1996,1997,1997,
Egypt,DHS-III,El-Zanaty & Associates,December 1997 - January 1998,Completed,,,,,143,"",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-12-01,1998-01-01,31,1997-12-17,1997,1998,1998,
Egypt,DHS-III,National Population Council,November 1995 - January 1996,Completed,,1,EG,33,71,DHS-III,,1,1,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-11-01,1996-01-01,61,1995-12-01,1995,1996,1996,1
Egypt,DHS-II,National Population Council,November 1992 - February 1993,Completed,,1,EG,21,45,DHS-II,,1,1,,,,,,,,,,1,,1,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-11-01,1993-02-01,92,1992-12-17,1992,1993,1993,
Egypt,DHS-I,National Population Council,October 1988 - January 1989,Completed,,,EG,01,24,DHS-I,,,1,,,,,,,,,1,,,1,1,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-10-01,1989-01-01,92,1988-11-16,1988,1989,1989,
El Salvador,DHS-I,Associación Demográfica Salvadoreña,May 1985 - July 1985,Completed,,,ES,01,1,DHS-I,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-05-01,1985-07-01,61,1985-05-31,1985,1985,1985,
Equatorial Guinea,DHS-VI,Ministerio de Sanidad y Biennestar Social & Ministerio de Planificacion,July 2011 - November 2011,Completed,,1,,,314,"",1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,1,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-01,2011-11-01,123,2011-09-01,2011,2011,2011,1
Eritrea,DHS-IV,National Statistics and Evaluation Office,March 2002 - July 2002,Completed,,1,,,170,DHS-IV,,,1,,,,,1,1,1,,,,1,1,1,,,1,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-01,2002-07-01,122,2002-05-01,2002,2002,2002,1
Eritrea,DHS-III,Nat. Statistics Office,September 1995 - January 1996,Completed,,,,,73,DHS-III,,,1,,,,1,1,,,,1,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-09-01,1996-01-01,122,1995-11-01,1995,1996,1996,1
Eswatini,DHS-V,Central Statistical Office,July 2006 - February 2007,Completed,,1,SZ,51,259,DHS-V,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,1,,,,1,,,1,1,1,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,2006-07-01,2007-02-01,215,2006-10-17,2006,2007,2007,
Ethiopia,DHS-VII,Central Statistical Agency (CSA),January 2016 - June 2016,Completed,1,1,ET,71,478,DHS-VII,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,,1,,,1,,,,,1,1,,,,,,,,1,1,,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-01,2016-06-01,152,2016-03-17,2016,2016,2016,1
Ethiopia,DHS-VI,Central Statistical Agency (CSA),December 2010 - May 2011,Completed,,1,ET,61,359,DHS-VI,,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-01,2011-05-01,151,2011-02-15,2010,2011,2011,1
Ethiopia,DHS-V,"Central Statistical Agency, Population and Housing Census Commissions Office (PHCCO)",April 2005 - August 2005,Completed,,1,ET,51,248,DHS-IV,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-01,2005-08-01,122,2005-06-01,2005,2005,2005,1
Ethiopia,DHS-IV,Central Statistical Authority,February 2000 - May 2000,Completed,,1,ET,41,147,DHS-IV,,,1,,,,1,1,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-02-01,2000-05-01,90,2000-03-17,2000,2000,2000,1
Gabon,DHS-VI,Direction Générale des Statistiques (DGS),January 2012 - May 2012,Completed,,1,GA,61,402,DHS-VI,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,1,1,,,,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-01,2012-05-01,121,2012-03-01,2012,2012,2012,1
Gabon,DHS-IV,Direction Générale de la Stat. des Etudes Economiques,July 2000 - January 2001,Completed,,,GA,41,148,DHS-III,1,,1,,,,1,1,1,,,1,1,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-07-01,2001-01-01,184,2000-10-01,2000,2001,2001,1
Gambia,DHS-VI,The Gambia Bureau of Statistics (GBOS),February 2013 - April 2013,Completed,,,GM,61,425,DHS-VI,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,,,,,,,,1,1,,,,,,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-01,2013-04-01,59,2013-03-03,2013,2013,2013,1
Ghana,DHS-VIII,Ghana Statistical Service and National Public Health and Reference Laboratory in Accra,September 2019 - November 2019,Completed,1,1,GH,81,557,DHS-VII,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-01,2019-11-01,61,2019-10-01,2019,2019,2019,1
Ghana,DHS-VII,Ghana Statistical Service (GSS)in collaboration with Ghana Health Service,June 2017 - October 2017,Completed,1,1,GH,7J,506,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-01,2017-10-01,122,2017-08-01,2017,2017,2017,1
