iso3_flat,crisis_id,crisis_name,type_of_crisis,regional_or_country,country_level,individual_aggregated,website_name,iso3,country,regions,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,mon,year,Total.PiN,check,country_flat,income,region,population,seq,full.parent,Adjusted.PiN,crisis_category
NGA,NGA003,Middle belt conflict,Conflict,Country,No,Individual,Middle Belt,NGA,Nigeria,Africa,83.89,0,0.3,0,0,2.5,99.6,0,0.4,0,0,1,1.8,Mar,2019,0.3,100,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,3,FALSE,0.3,Conflict
NGA,NGA004,Boko Haram crisis in Nigeria,Conflict,Country,No,Individual,Boko Haram ,NGA,Nigeria,Africa,0,6.33,1.91,5.16,0,4.7,0,48.7,14.7,39.7,0,4,4.4,Mar,2019,7.07,103.1,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,4,FALSE,7.07,Conflict
NGA,NGA005,Cameroon refugees in Nigeria,,Country,No,Individual,,NGA,Nigeria,Africa,0,0.03,0,0,0,0,0,0.2,0,0,0,0,0,Jan,2019,0,0.2,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,5,FALSE,0,Displacement
NGA,NGA007,Northwest Banditry,Other type of violence,Country,No,Individual,Northwest Banditry,NGA,Nigeria,Africa,,,,,,,,,,,,,,Dec,2019,0,0,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,6,FALSE,0,Conflict
NIC,NIC001,Socioeconomic crisis in Nicaragua,Political and economic crisis,Country,Yes,Individual,Socioeconomic crisis,NIC,Nicaragua,Americas,0,0,0.3,0,0,2.5,0,0,4.8,0,0,0,1.3,Jan,2019,0.3,4.8,Nicaragua,Lower middle income,Latin America & Caribbean,6624554,1,FALSE,0.3,Complex
NPL,NPL002,Floods in Nepal,Flood,Country,No,Individual,,NPL,Nepal,Asia,7.67,0.05,0.05,0.08,0,1.9,97.7,0.6,0.7,1,0,1,1.5,Jul,2019,0.13,100,Nepal,Low income,South Asia,29136808,1,FALSE,0.13,Physical
PAK,PAK001,Complex crisis in Pakistan,Complex crisis,Country,Yes,Individual,Complex crisis,PAK,Pakistan,Asia,159.5,47.06,2.02,1.02,0,4.1,76.1,22.5,1,0.5,0,2,3.1,Oct,2019,3.04,100.1,Pakistan,Lower middle income,South Asia,220892331,1,TRUE,3.04,Complex
PAK,PAK002,Drought in Pakistan,,Country,No,Individual,,PAK,Pakistan,Asia,0,2.99,1.41,0,0,3.6,0,5,2.3,0,0,0,1.8,Feb,2019,1.41,7.3,Pakistan,Lower middle income,South Asia,220892331,2,TRUE,1.41,Physical
PAK,PAK003,Conflict in Pakistan,,Country,No,Individual,,PAK,Pakistan,Asia,0,0,2.9,0,0,4.1,0,0,1.4,0,0,0,2.1,Feb,2019,2.9,1.4,Pakistan,Lower middle income,South Asia,220892331,3,TRUE,2.9,Conflict
PAK,PAK004,Kashmir conflict in Pakistan,Conflict,Country,No,Individual,Kashmir conflict,PAK,Pakistan,Asia,,,,,,,,,,,,,,Feb,2019,0,0,Pakistan,Lower middle income,South Asia,220892331,4,TRUE,0,Conflict
PAN,PAN002,Venezuela displacement in Panama,,Country,,Individual,,PAN,Panama,Americas,0.09,0,0,0,0,0,5.2,0,0,0,0,1,0.5,Feb,2019,0,5.2,Panama,High income,Latin America & Caribbean,4314768,1,TRUE,0,Displacement
PER,PER002,Venezuela displacement in Peru,International displacement,Country,Yes,Individual,Venezuelan refugees,PER,Peru,Americas,13.89,0.4,0.73,0,0,3.1,92.5,2.6,4.9,0,0,2,2.6,Nov,2019,0.73,100,Peru,Upper middle income,Latin America & Caribbean,32971846,1,FALSE,0.73,Displacement
PHL,PHL001,Multiple crises in the Philippines,Multiple crises country,Country,Yes,Aggregated,Country level,PHL,Philippines,Asia,65.13,2.11,0.4,0,0,2.7,96.8,3.1,0.6,0,0,1,1.9,Dec,2019,0.4,100.5,Philippines,Lower middle income,East Asia & Pacific,109581085,1,TRUE,0.4,Complex
PHL,PHL003,Mindanao conflict,Conflict,Country,No,Individual,Mindanao Conflict,PHL,Philippines,Asia,23.96,0,0.17,0,0,2.1,99.3,0,0.7,0,0,1,1.6,Nov,2019,0.17,100,Philippines,Lower middle income,East Asia & Pacific,109581085,2,TRUE,0.17,Conflict
PHL,PHL004,Mindanao Earthquake,Earthquake,Country,No,Individual,Mindanao Earthquake,PHL,Philippines,Asia,9.78,0.18,0.17,0,0,2,96.5,1.8,1.7,0,0,1,1.5,Dec,2019,0.17,100,Philippines,Lower middle income,East Asia & Pacific,109581085,3,TRUE,0.17,Physical
PHL,PHL005,Typhoon Tisoy,,Country,No,Individual,,PHL,Philippines,Asia,41.16,1.93,0.06,0,0,1.3,95.4,4.5,0.1,0,0,1,1.2,Dec,2019,0.06,100,Philippines,Lower middle income,East Asia & Pacific,109581085,4,TRUE,0.06,Physical
PNG,PNG002,Complex crisis in PNG,,Country,,Individual,,PNG,Papua New Guinea,Pacific,,,,,,,,,,,,,,Feb,2019,0,0,Papua New Guinea,Lower middle income,East Asia & Pacific,8947027,1,TRUE,0,Complex
PRK,PRK001,Complex crisis in DPRK,Complex crisis,Country,Yes,Individual,Complex crisis,PRK,DPRK,Asia,0,14.56,5.4,5.5,0,5,0,57.2,21.2,21.6,0,4,4.5,Apr,2019,10.9,100,DPRK,Low income,East Asia & Pacific,25778815,1,FALSE,10.9,Complex
PSE,PSE002,Conflict in Palestine,Conflict,Country,Yes,Individual,Complex,PSE,Palestine,Middle east,0,2.45,0.9,1.6,0,4,0,49.5,18.2,32.3,0,4,4,Apr,2019,2.5,100,Palestine,Lower middle income,Middle East & North Africa,5101416,1,FALSE,2.5,Conflict
"NGA, NER, TCD, CMR",REG001,Regional Boko Haram Crisis,Regional crisis,Regional,,Individual,Regional Boko Haram,NGA|NER|TCD|CMR,Nigeria|Niger|Chad|Cameroon,Africa|Africa|Africa|Africa,0,9.42,3.77,6.51,0,5,0,48.8,19.5,33.7,0,4,4.5,May,2019,10.28,102,"Nigeria, Niger, Chad, Cameroon",,,,1,FALSE,10.28,Complex
"VEN, BRA, COL, ECU, PER, TTO",REG002,Venezuela Regional Crisis,Regional crisis,Regional,,Individual,Venezuela Regional Crisis,VEN|BRA|COL|ECU|PER|TTO,Venezuela|Brazil|Colombia|Ecuador|Peru|Trinidad and Tobago,Americas|Americas|Americas|Americas|Americas|Americas,42.96,15.94,16.99,0.54,0,5,56.2,20.9,22.2,0.7,0,3,4,Apr,2019,17.53,100,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago",,,,1,FALSE,17.53,Complex
"IND, PAK",REG003,Regional Kashmir conflict,Regional crisis,Regional,No,Individual,Regional Kashmir conflict,IND|PAK,India|Pakistan,Asia|Asia,,,,,,,,,,,,,,Apr,2019,0,0,"India, Pakistan",,,,1,TRUE,0,Complex
"SYR, TUR, IRQ, EGY, JOR, LBN",REG004,Syrian Regional Crisis,Regional crisis,Regional,No,Individual,Syrian Regional Crisis,SYR|TUR|IRQ|EGY|JOR|LBN,Syria|Turkey|Iraq|Egypt|Jordan|Lebanon,Middle east|Middle east|Middle east|Africa|Middle east|Middle east,63.28,8.03,5.35,9.41,1.24,5,72.5,9.2,6.1,10.8,1.4,4,4.5,May,2019,16,100,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon",,,,1,FALSE,16,Complex
"TUR, GRC",REG006,Eastern Mediterranean Route ,Regional crisis,Regional,,Individual,Eastern Mediterranean Route ,TUR|GRC,Turkey|Greece,Middle east|Europe,,,,,,,,,,,,,,May,2019,0,0,"Turkey, Greece",,,,1,TRUE,0,Complex
"DZA, TUN, LBY, ITA",REG007,Central Mediterranean Route,Regional crisis,Regional,,Individual,Central Mediterranean Route,DZA|TUN|LBY|ITA,Algeria|Tunisia|Libya|Italy,Africa|Africa|Africa|Europe,,,,,,,,,,,,,,Apr,2019,0,0,"Algeria, Tunisia, Libya, Italy",,,,1,TRUE,0,Complex
"DZA, MAR, ESP",REG008,Western Mediterranean Route,Regional crisis,Regional,,Individual,Western Mediterranean Route,DZA|MAR|ESP,Algeria|Morocco|Spain,Africa|Africa|Europe,,,,,,,,,,,,,,Apr,2019,0,0,"Algeria, Morocco, Spain",,,,1,TRUE,0,Complex
"BGD, MMR",REG011,Rohingya Regional Crisis,Regional crisis,Regional,No,Individual,Rohingya Regional Crisis,BGD|MMR,Bangladesh|Myanmar,Asia|Asia,2.55,0.79,1.22,0.6,0.02,3.8,49.3,15.2,23.6,11.6,0.4,4,3.9,Apr,2019,1.84,100.1,"Bangladesh, Myanmar",,,,1,FALSE,1.84,Complex
RWA,RWA002,Burundi and DRC refugees in Rwanda,International displacement,Country,Yes,Individual,Refugees,RWA,Rwanda,Africa,4.45,0.12,0.15,0,0,2,94.2,2.6,3.2,0,0,2,2,Oct,2019,0.15,100,Rwanda,Low income,Sub-Saharan Africa,12952209,1,FALSE,0.15,Displacement
SDN,SDN001,Complex crisis in Sudan,Complex crisis,Country,Yes,Individual,Complex crisis,SDN,Sudan,Africa,24.61,11.73,7.37,1.13,0,4.9,54.9,26.1,16.4,2.5,0,3,4,Aug,2019,8.5,99.9,Sudan,Lower middle income,Sub-Saharan Africa,43849269,1,FALSE,1.76,Complex
SDN,SDN002,Conflict and food insecurity in Sudan,,Country,No,Individual,,SDN,Sudan,Africa,0,0,4.68,1.08,0,4.6,0,0,11,2.6,0,3,3.8,Feb,2019,5.76,13.6,Sudan,Lower middle income,Sub-Saharan Africa,43849269,2,FALSE,5.76,Complex
SDN,SDN003,Eritrean refugees in Sudan,,Country,No,Individual,,SDN,Sudan,Africa,0,0,0.12,0,0,1.8,0,0,100,0,0,3,2.4,Apr,2019,0.12,100,Sudan,Lower middle income,Sub-Saharan Africa,43849269,3,FALSE,0.12,Displacement
SDN,SDN004,South Sudanese refugees in Sudan,,Country,No,Individual,,SDN,Sudan,Africa,0,0,0.82,0.04,0,3.2,0,0,94.9,5.1,0,4,3.6,Aug,2019,0.86,100,Sudan,Lower middle income,Sub-Saharan Africa,43849269,4,FALSE,0.86,Displacement
SEN,SEN002,Drought in Senegal,Drought,Country,Yes,Individual,Drought,SEN,Senegal,Africa,,3.08,0.38,0,0,2.6,,19.6,2.4,0,0,2,2.3,Jan,2019,0.38,22,Senegal,Low income,Sub-Saharan Africa,16743930,1,FALSE,0.38,Physical
SLV,SLV001,Complex crisis in El Salvador,Complex crisis,Country,Yes,Individual,Complex crisis,SLV,El Salvador,Americas,0,0.47,0.24,0.06,0,2.5,0,8.8,4.5,1.2,0,3,2.8,Feb,2019,0.3,14.5,El Salvador,Lower middle income,Latin America & Caribbean,6486201,1,FALSE,0.3,Complex
SOM,SOM001,Complex crisis in Somalia,Complex crisis,Country,Yes,Individual,Complex crisis,SOM,Somalia,Africa,0,7.23,5.26,0.14,0,4.6,0,58.6,42.7,1.1,0,3,3.8,Jul,2019,5.4,102.4,Somalia,Low income,Sub-Saharan Africa,15893219,1,FALSE,5.37,Complex
SOM,SOM002,Mixed Migration Flows in Somalia,International displacement,Country,No,Individual,Mixed Migration,SOM,Somalia,Africa,1.23,0,0.02,0.01,0,0.9,97.3,0,1.7,1,0,1,1,Apr,2019,0.03,100,Somalia,Low income,Sub-Saharan Africa,15893219,2,FALSE,0.03,Displacement
SSD,SSD001,Complex crisis in South Sudan,Complex crisis,Country,Yes,Individual,Complex crisis,SSD,South Sudan,Africa,0,4.3,5.42,1.82,0.02,4.8,0,36.8,46.4,15.5,0.2,4,4.4,Jul,2019,7.26,98.9,South Sudan,Low income,Sub-Saharan Africa,11193729,1,FALSE,6.64,Complex
SSD,SSD002,Floods in South Sudan,Flood,Country,No,Individual,,SSD,South Sudan,Africa,5.78,0.91,0.62,0,0,3,79.1,12.4,8.5,0,0,3,3,Nov,2019,0.62,100,South Sudan,Low income,Sub-Saharan Africa,11193729,2,FALSE,0.62,Physical
SYR,SYR001,Syrian conflict,Complex crisis,Country,Yes,Individual,Conflict,SYR,Syria,Middle east,0,3.21,1.97,8.5,1.24,5,0,21.5,13.2,57,8.3,5,5,Apr,2019,11.71,100,Syria,Low income,Middle East & North Africa,17500657,1,FALSE,11.71,Complex
TCD,TCD001,Complex crisis in Chad,Multiple crises country,Country,Yes,Aggregated,Complex crisis,TCD,Chad,Africa,12,0,3.17,1.09,0,4.4,73.8,0,19.5,6.7,0,4,4.2,Apr,2019,4.26,100,Chad,Low income,Sub-Saharan Africa,16425859,1,FALSE,1.19,Complex
TCD,TCD002,Drought in Chad,Drought,Country,No,Individual,,TCD,Chad,Africa,11.16,2.66,0.49,0.03,0,2.9,68.6,16.4,3,0.2,0,2,2.5,Apr,2019,0.52,88.2,Chad,Low income,Sub-Saharan Africa,16425859,2,FALSE,0.52,Physical
TCD,TCD003,Boko Haram in Chad,Conflict,Country,No,Individual,Boko Haram ,TCD,Chad,Africa,0,0.18,0.38,0.11,0,2.8,0,27.3,56.7,16,0,4,3.4,Apr,2019,0.49,100,Chad,Low income,Sub-Saharan Africa,16425859,3,FALSE,0.49,Conflict
TCD,TCD004,CAR refugees in Chad,International displacement,Country,No,Individual,CAR refugees,TCD,Chad,Africa,3.18,0,1.01,0.11,0,3.4,73.9,0,23.6,2.5,0,3,3.2,Apr,2019,1.12,100,Chad,Low income,Sub-Saharan Africa,16425859,4,FALSE,1.12,Displacement
TCD,TCD005,Darfur refugees in Chad,International displacement,Country,No,Individual,Darfur refugees,TCD,Chad,Africa,1.52,0,0.47,0.47,0,3.3,61.6,0,19.2,19.2,0,4,3.7,Apr,2019,0.94,100,Chad,Low income,Sub-Saharan Africa,16425859,5,FALSE,0.94,Displacement
TCD,TCD006,Tibesti Conflict in Chad,Conflict,Country,No,Individual,Tibesti conflict,TCD,Chad,Africa,,,,,,,,,,,,,,Feb,2019,0,0,Chad,Low income,Sub-Saharan Africa,16425859,6,FALSE,0,Conflict
THA,THA001,Multiple situations in Thailand,Multiple crises country,Country,Yes,Aggregated,Country level,THA,Thailand,Asia,,,,,,,,,,,,,,Feb,2019,0,0,Thailand,Upper middle income,East Asia & Pacific,69799978,1,TRUE,0,Complex
THA,THA002,Conflict in southern Thailand ,Conflict,Country,No,Individual,Conflict,THA,Thailand,Asia,,,,,,,,,,,,,,Feb,2019,0,0,Thailand,Upper middle income,East Asia & Pacific,69799978,2,TRUE,0,Conflict
THA,THA003,Myanmar refugees in Thailand,International displacement,Country,No,Individual,Refugees,THA,Thailand,Asia,0,0,0.09,0,0,1.6,0,0,100,0,0,3,2.3,Nov,2019,0.09,100,Thailand,Upper middle income,East Asia & Pacific,69799978,3,TRUE,0.09,Displacement
TTO,TTO002,Venezuelan refugees in Trinidad and Tobago,International displacement,Country,Yes,Individual,Venezuelan refugees,TTO,Trinidad and Tobago,Americas,1.37,0,0.06,0,0,1.3,97.2,0,4.3,0,0,1,1.2,Apr,2019,0.06,101.5,Trinidad and Tobago,High income,Latin America & Caribbean,1399491,1,FALSE,0.06,Displacement
TUN,TUN002,Mixed migration flows in Tunisia,International displacement,Country,Yes,Individual,Mixed Migration,TUN,Tunisia,Africa,,,,,,,,,,,,,,Feb,2019,0,0,Tunisia,Lower middle income,Middle East & North Africa,11818618,1,TRUE,0,Displacement
TUR,TUR001,Complex situation in Turkey,Multiple crises country,Country,Yes,Aggregated,Country level,TUR,Turkey,Middle east,33.58,1.32,1.68,1.05,0,4.1,62.6,2.5,3.1,1.9,0,3,3.6,Oct,2019,2.73,70.1,Turkey,Upper middle income,Europe & Central Asia,84339067,1,TRUE,2.73,Complex
TUR,TUR002,Syrian Refugees in Turkey,International displacement,Country,No,Individual,Syrian refugees,TUR,Turkey,Middle east,32.48,1.32,1.68,0.68,0,4,89.8,3.7,4.6,1.9,0,3,3.5,Oct,2019,2.36,100,Turkey,Upper middle income,Europe & Central Asia,84339067,2,TRUE,2.36,Displacement
TUR,TUR003,Mixed Migration Flows in Turkey,International displacement,Country,No,Individual,Mixed Migration,TUR,Turkey,Middle east,33.58,1.32,1.68,1.05,0,4.1,89.2,3.5,4.5,2.8,0,3,3.6,Oct,2019,2.73,100,Turkey,Upper middle income,Europe & Central Asia,84339067,3,TRUE,2.73,Displacement
TUR,TUR004,Kurdish Conflict,Conflict,Country,No,Individual,Kurdish conflict,TUR,Turkey,Middle east,,,,,,,,,,,,,,Feb,2019,0,0,Turkey,Upper middle income,Europe & Central Asia,84339067,4,TRUE,0,Conflict
TZA,TZA002,International Displacement in Tanzania,International displacement,Country,Yes,Individual,Refugees,TZA,Tanzania,Africa,11.39,0.04,0.29,0,0,2.4,97.2,0.4,2.4,0,0,1,1.7,Apr,2019,0.29,100,Tanzania,Low income,Sub-Saharan Africa,59734213,1,FALSE,0.29,Displacement
UGA,UGA001,Multiple crises in Uganda,Multiple crises country,Country,Yes,Aggregated,Country level,UGA,Uganda,Africa,6.65,1.31,1.61,0.08,0,3.7,68.8,13.6,16.7,0.8,0,3,3.4,Sep,2019,1.69,99.9,Uganda,Low income,Sub-Saharan Africa,45741000,1,TRUE,1.69,Complex
UGA,UGA002,South sudanese refugees in Uganda,,Country,No,Individual,,UGA,Uganda,Africa,0.25,0,0.82,0.03,0,3.2,7.5,0,24.4,0.7,0,3,3.1,Sep,2019,0.85,32.6,Uganda,Low income,Sub-Saharan Africa,45741000,2,TRUE,0.85,Displacement
UGA,UGA003,DRC refugees in Uganda,,Country,No,Individual,,UGA,Uganda,Africa,3.35,0,0.33,0.04,0,2.6,90.1,0,8.8,1.1,0,3,2.8,Aug,2019,0.37,100,Uganda,Low income,Sub-Saharan Africa,45741000,3,TRUE,0.37,Displacement
UGA,UGA004,Drought in Uganda,Drought,Country,No,Individual,,UGA,Uganda,Africa,0,0,0.46,0.01,0,2.8,0,0,17.9,0.5,0,3,2.9,Mar,2019,0.47,18.4,Uganda,Low income,Sub-Saharan Africa,45741000,4,TRUE,0.47,Physical
UGA,UGA005,International Displacement in Uganda,International displacement,Country,No,Individual,Refugees,UGA,Uganda,Africa,5.94,0,1.37,0,0,3.6,81.2,0,18.8,0,0,3,3.3,Dec,2019,1.37,100,Uganda,Low income,Sub-Saharan Africa,45741000,5,TRUE,1.37,Displacement
UKR,UKR002,Conflict in Ukraine,Conflict,Country,Yes,Individual,Conflict,UKR,Ukraine,Europe,1.11,1.7,2.7,0.8,0,4.2,17.6,26.9,42.8,12.7,0,4,4.1,Apr,2019,3.5,100,Ukraine,Lower middle income,Europe & Central Asia,43733759,1,FALSE,3.5,Conflict
VEN,VEN001,Complex crisis in Venezuela,Complex crisis,Country,Yes,Individual,Complex crisis,VEN,Venezuela,Americas,0,14.34,14.92,0,0,5,0,49,51,0,0,3,4,Apr,2019,14.92,100,Venezuela,Upper middle income,Latin America & Caribbean,28435943,1,FALSE,14.92,Complex
PHL,XXX002,Monsoon in Philippines,,Country,,Individual,,PHL,Philippines,Asia,0,0.11,0,0,0,0,0,18.8,0,0,0,2,1,Feb,2019,0,18.8,Philippines,Lower middle income,East Asia & Pacific,109581085,5,TRUE,0,Physical
PHL,XXX003,Philippines,,Country,,Individual,,PHL,Philippines,Asia,0,0.18,0,0,0,0,0,4.1,0,0,0,0,0,Feb,2019,0,4.1,Philippines,Lower middle income,East Asia & Pacific,109581085,6,TRUE,0,
YEM,YEM001,Conflict in Yemen,Complex crisis,Country,Yes,Individual,Complex crisis,YEM,Yemen,Middle east,0,4.5,9.8,14.3,0.06,5,0,15,32.6,47.6,0.2,4,4.5,Nov,2019,24.16,95.4,Yemen,Low income,Middle East & North Africa,29825968,1,FALSE,23.73,Complex
YEM,YEM002,Mixed migration flows in Yemen,International displacement,Country,No,Individual,Mixed Migration,YEM,Yemen,Middle east,0,0,0.25,0.18,0,2.7,0,0,5.7,4.1,0,3,2.9,Feb,2019,0.43,9.8,Yemen,Low income,Middle East & North Africa,29825968,2,FALSE,0.43,Displacement
ZMB,ZMB002,Drought in Zambia,Drought,Country,Yes,Individual,Drought,ZMB,Zambia,Africa,4.07,3.13,1.87,0.41,0,3.9,43,33,19.7,4.3,0,3,3.5,Nov,2019,2.28,100,Zambia,Lower middle income,Sub-Saharan Africa,18383956,1,FALSE,2.28,Physical
ZWE,ZWE001,Complex crisis in Zimbabwe,Complex crisis,Country,Yes,Individual,Complex crisis,ZWE,Zimbabwe,Africa,7.89,2.98,4.31,1.26,0,4.6,51.2,19.3,28,8.2,0,4,4.3,Apr,2019,5.57,106.7,Zimbabwe,Low income,Sub-Saharan Africa,14862927,1,FALSE,5.29,Complex
ZWE,ZWE002,Tropical Cyclone Idai in Zimbabwe,,Country,No,Individual,,ZWE,Zimbabwe,Africa,8.28,0,0.27,0.01,0,2.4,96.8,0,3.1,0.1,0,1,1.7,Mar,2019,0.28,100,Zimbabwe,Low income,Sub-Saharan Africa,14862927,2,FALSE,0.28,Physical
AFG,AFG001,Complex crisis in Afghanistan,Complex crisis,Country,Yes,Individual,Complex crisis,AFG,Afghanistan,Asia,0,21.7,10.45,3.55,0,5,0,60.8,29.3,10,0,4,4.5,Oct,2020,14,100.1,Afghanistan,Low income,South Asia,38928341,1,FALSE,14,Complex
ARM,ARM002,Nagorno-Karabakh Conflict in Armenia,Conflict,Country,Yes,Individual,Nagorno-Karabakh Conflict in Armenia,ARM,Armenia,Middle east,,,,,,,,,,,,,,Nov,2020,0,0,Armenia,Upper middle income,Europe & Central Asia,2963234,1,TRUE,0,Conflict
AZE,AZE002,Nagorno-Karabakh conflict in Azerbaijan,Conflict,Country,Yes,Individual,Nagorno-Karabakh conflict in Azerbaijan,AZE,Azerbaijan,Middle east,,,,,,,,,,,,,,Nov,2020,0,0,Azerbaijan,Upper middle income,Europe & Central Asia,10139175,1,TRUE,0,Conflict
BDI,BDI001,Complex in Burundi,Complex crisis,Country,Yes,Individual,Complex crisis ,BDI,Burundi,Africa,0,9.72,0.9,0.8,0,3.7,0,85.2,7.9,7,0,4,3.9,Jan,2020,1.7,100.1,Burundi,Low income,Sub-Saharan Africa,11890781,1,FALSE,1.7,Complex
BFA,BFA002,Conflict in Burkina Faso,Conflict,Country,Yes,Individual,Conflict,BFA,Burkina Faso,Africa,3.46,3.11,0.49,0.76,0.92,3.9,39.6,35.6,5.6,8.7,10.5,5,4.5,Oct,2020,2.17,100,Burkina Faso,Low income,Sub-Saharan Africa,20903278,1,TRUE,2.17,Conflict
BFA,BFA003,Floods in Burkina Faso,Flood,Country,No,Individual,Floods,BFA,Burkina Faso,Africa,21.07,0,0.03,0.05,0,1.4,99.7,0,0.1,0.2,0,1,1.2,Sep,2020,0.08,100,Burkina Faso,Low income,Sub-Saharan Africa,20903278,2,TRUE,0.08,Physical
BFA,BFA004,Multiple crises in Burkina Faso,Multiple crises country,Country,Yes,Aggregated,Multiple crises,BFA,Burkina Faso,Africa,15.76,3.16,0.54,0.76,0.92,3.9,74.5,15,2.6,3.6,4.3,4,4,Nov,2020,2.22,100,Burkina Faso,Low income,Sub-Saharan Africa,20903278,3,TRUE,2.22,Complex
BGD,BGD001,Mutliple crises in Bangladesh,Multiple crises country,Country,Yes,Aggregated,Country Level,BGD,Bangladesh,Asia,79.2,17.83,1.45,0.21,0,3.7,80.3,18.1,1.5,0.2,0,2,2.9,Oct,2020,1.66,100.1,Bangladesh,Lower middle income,South Asia,164689383,1,TRUE,1.66,Complex
BGD,BGD002,Rohingya refugee crisis,International displacement,Country,Yes,Individual,Rohingya Refugees,BGD,Bangladesh,Asia,0,0.47,0.71,0.2,0,3.3,0,34,51.3,14.6,0,4,3.7,Jan,2020,0.91,99.9,Bangladesh,Lower middle income,South Asia,164689383,2,TRUE,0.91,Displacement
BGD,BGD004,Multiple Crises in Bangladesh,,Country,Yes,Individual,,BGD,Bangladesh,Asia,52.16,5.98,2.71,0.27,0.02,4.1,87.3,10,4.5,0.5,0,3,3.6,Jan,2020,3,102.3,Bangladesh,Lower middle income,South Asia,164689383,3,TRUE,3,Complex
BGD,BGD006,Cyclone Amphan Bangladesh,Tropical cyclone,Country,No,Individual,Cyclone Amphan,BGD,Bangladesh,Asia,13.32,13.16,0.7,0,0,3.1,49,48.4,2.6,0,0,2,2.6,Jun,2020,0.7,100,Bangladesh,Lower middle income,South Asia,164689383,4,TRUE,0.7,Physical
BGD,BGD007,Floods in Bangladesh,Flood,Country,No,Individual,Floods,BGD,Bangladesh,Asia,64.77,5.31,0.09,0,0,1.6,92.3,7.6,0.1,0,0,2,1.8,Sep,2020,0.09,100,Bangladesh,Lower middle income,South Asia,164689383,5,TRUE,0.09,Physical
BHS,BHS002,Hurricane Dorian in Bahamas ,,Country,Yes,Individual,,BHS,Bahamas,Americas,0.1,0.07,0.01,0,0,0,56.8,40.3,2.8,0,0,2,1,Jan,2020,0.01,99.9,Bahamas,High income,Latin America & Caribbean,393248,1,FALSE,0.01,Physical
BRA,BRA002,Venezuela displacement in Brazil,International displacement,Country,Yes,Individual,Venezuelan refugees,BRA,Brazil,Americas,0.21,0.4,0.26,0,0,2.4,23.8,45.9,30.3,0,0,3,2.7,Oct,2020,0.26,100,Brazil,Upper middle income,Latin America & Caribbean,212559409,1,FALSE,0.26,Displacement
CAF,CAF001,Complex crisis in CAR,Complex crisis,Country,Yes,Individual,Complex crisis,CAF,CAR,Africa,0,2.1,0.9,1.9,0,4.1,0,42.9,18.4,38.8,0,4,4.1,Oct,2020,2.8,100.1,CAR,Low income,Sub-Saharan Africa,4829764,1,FALSE,2.74,Complex
CAF,CAF002,Floods in CAR,Flood,Country,,Individual,,CAF,CAR,Africa,2.99,0.02,0.06,0,0,1.3,97.3,0.7,2,0,0,1,1.2,Jan,2020,0.06,100,CAR,Low income,Sub-Saharan Africa,4829764,2,FALSE,0.06,Physical
CHN,CHN002,Floods in China,Flood,Country,No,Individual,Floods,CHN,China,Asia,937.8,65.31,4.69,0,0,4.5,93.5,6.5,0.5,0,0,2,3.3,Oct,2020,4.69,100.5,China,Upper middle income,East Asia & Pacific,1439323774,1,FALSE,4.69,Physical
CMR,CMR001,Multiple crises in Cameroon,Multiple crises country,Country,Yes,Aggregated,Country level,CMR,Cameroon,Africa,7.96,4.15,1.27,2.18,0,4.2,51.5,26.8,8.2,14.1,0,4,4.1,Jan,2020,3.45,100.6,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,1,TRUE,3.45,Complex
CMR,CMR002,Boko Haram in Cameroon,Conflict,Country,No,Individual,Boko Haram,CMR,Cameroon,Africa,0,1.48,0.71,1.14,0,3.8,0,44.4,21.3,34.3,0,4,3.9,Jan,2020,1.85,100,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,2,TRUE,1.85,Conflict
CMR,CMR003,Anglophone Crisis in Cameroon,Conflict,Country,No,Individual,Anglophone crisis,CMR,Cameroon,Africa,5.65,2.67,0.29,1.04,0,3.5,58.5,27.7,3,10.7,0,4,3.8,Jan,2020,1.33,99.9,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,3,TRUE,1.33,Conflict
CMR,CMR004,CAR refugees in Cameroon,International displacement,Country,No,Individual,CAR refugees,CMR,Cameroon,Africa,1.66,0,0.3,0,0,2.5,84.7,0,15.3,0,0,3,2.8,Aug,2020,0.3,100,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,4,TRUE,0.3,Displacement
COD,COD001,Complex crisis in DRC,Complex crisis,Country,Yes,Individual,Complex crisis,COD,DRC,Africa,46.24,29.83,16.51,6.39,0.53,5,46.5,30,16.6,6.4,0.5,4,4.5,Oct,2020,23.43,100,DRC,Low income,Sub-Saharan Africa,89561404,1,FALSE,22.62,Complex
